@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
10339,'2024/02/26 17:13:23:639',8,0.267327,0.274188,0.456765,0.407528,0.263898,0.264102,0.209381,0.229726,0.23415,0.207333,0.227814,0.246117,0.216682,0.209469,0.163993,0.220603,0.180857,0.186796,0.14038,0.155548,0.144317,0.110854,0.082049,0.069406,0.103688,0.104691,0.146468,0,0,0,0,0,0,1
10340,'2024/02/26 17:13:23:650',8,0.487956,0.285216,0.447929,0.374352,0.267011,0.279855,0.25732,0.209599,0.218178,0.262937,0.217643,0.190197,0.199874,0.185028,0.205313,0.237621,0.185549,0.163354,0.137045,0.162888,0.137285,0.115166,0.080266,0.076764,0.094028,0.108469,0.152018,0,0,0,0,0,0,1
10341,'2024/02/26 17:13:23:662',8,0.647269,0.068076,0.536867,0.476886,0.533024,0.533207,0.625641,0.628154,0.606277,0.57932,0.531673,0.521492,0.491195,0.373722,0.389549,0.456295,0.40269,0.370842,0.33334,0.339649,0.306797,0.246501,0.244377,0.22718,0.207469,0.194562,0.192214,0,0,0,0,0,0,1
10342,'2024/02/26 17:13:23:673',8,0.715759,0.052949,0.706653,0.738904,0.699816,0.730533,0.794234,0.789759,0.728459,0.697916,0.664464,0.63798,0.620371,0.47854,0.503491,0.581981,0.51559,0.482632,0.470361,0.482732,0.427595,0.371076,0.39211,0.37772,0.347462,0.336148,0.315785,0.568811,0.599358,0,0,0,0,1
10343,'2024/02/26 17:13:23:685',8,0.73703,0.044121,0.741631,0.845602,0.762857,0.809827,0.867664,0.846793,0.713375,0.698098,0.72398,0.62192,0.621079,0.516585,0.497908,0.569979,0.501338,0.475668,0.518611,0.521036,0.435595,0.387875,0.45073,0.440439,0.403725,0.394626,0.373961,0.41527,0.7274,0.408877,0.65696,0,0,1
10344,'2024/02/26 17:13:23:697',8,0.743907,0.040608,0.739255,0.879436,0.760273,0.816705,0.894339,0.848154,0.671344,0.700924,0.751172,0.546902,0.555118,0.533541,0.461332,0.48532,0.456383,0.465209,0.538812,0.531093,0.445178,0.38943,0.465791,0.458492,0.418525,0.411173,0.391083,0.394038,0.718098,0,0,0,0,1
10345,'2024/02/26 17:13:23:709',8,0.744115,0.040306,0.73969,0.880333,0.809751,0.863115,0.898217,0.843378,0.664784,0.707966,0.762616,0.541002,0.55091,0.531769,0.457501,0.459975,0.451552,0.467261,0.541144,0.536436,0.457183,0.390795,0.47028,0.464184,0.422387,0.41658,0.396716,0.39743,0.667252,0,0,0,0,1
10346,'2024/02/26 17:13:23:720',8,0.740807,0.040187,0.739046,0.880381,0.798645,0.868005,0.898985,0.837003,0.634179,0.710517,0.761058,0.547391,0.552001,0.562592,0.461312,0.45074,0.463301,0.468681,0.540015,0.536253,0.460282,0.381405,0.466526,0.465704,0.416746,0.416043,0.39628,0.398242,0.639204,0,0,0,0,1
10347,'2024/02/26 17:13:23:732',8,0.739605,0.040596,0.740257,0.877011,0.78529,0.853826,0.89976,0.833002,0.636141,0.714982,0.758041,0.555548,0.547629,0.587421,0.44303,0.43928,0.451875,0.46194,0.53805,0.533182,0.45695,0.386441,0.465292,0.461994,0.41657,0.412849,0.392855,0.396773,0.716648,0,0,0,0,1
10348,'2024/02/26 17:13:23:743',8,0.736085,0.040256,0.739125,0.876727,0.811529,0.840936,0.89959,0.827978,0.673679,0.716106,0.76145,0.550375,0.563781,0.612352,0.460521,0.439979,0.425994,0.479432,0.536522,0.530136,0.4545,0.393495,0.466695,0.457226,0.420175,0.410766,0.389847,0.395073,0.664048,0,0,0,0,1
